freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.736e+02,1.701e+01,4.353e+00,1.949e+02
1.6,1.022e+02,2.008e+01,1.847e+01,1.408e+02
3.2,2.301e+01,1.336e+01,2.069e+01,5.705e+01
4.8,3.264e+02,2.248e+01,2.001e+01,3.689e+02
6.3,1.093e+03,4.303e+01,1.993e+01,1.156e+03
7.9,1.800e+03,6.532e+01,2.045e+01,1.886e+03
9.5,2.685e+03,9.148e+01,2.087e+01,2.797e+03
11.1,3.804e+03,1.278e+02,2.291e+01,3.955e+03
12.7,4.706e+03,1.616e+02,2.221e+01,4.890e+03
14.3,5.776e+03,1.598e+02,2.169e+01,5.957e+03
15.8,7.965e+03,2.030e+02,2.120e+01,8.189e+03
17.4,1.026e+04,2.429e+02,2.100e+01,1.053e+04
19.0,1.288e+04,2.737e+02,2.257e+01,1.317e+04
20.6,1.574e+04,3.316e+02,2.306e+01,1.609e+04
22.2,1.949e+04,6.433e+02,2.771e+01,2.016e+04
23.8,2.372e+04,1.159e+03,2.939e+01,2.491e+04
25.3,3.181e+04,1.531e+03,4.285e+01,3.338e+04
26.9,4.187e+04,2.135e+03,1.105e+02,4.411e+04
28.5,4.040e+04,1.637e+03,2.293e+02,4.227e+04
30.1,3.384e+04,5.618e+02,1.967e+02,3.460e+04
31.7,3.705e+04,6.288e+02,1.140e+02,3.779e+04
33.3,4.597e+04,9.801e+02,6.757e+01,4.701e+04
34.8,5.586e+04,1.247e+03,5.876e+01,5.716e+04
36.4,6.290e+04,1.778e+03,5.364e+01,6.473e+04
38.0,7.344e+04,2.365e+03,3.157e+01,7.584e+04
39.6,9.668e+04,3.049e+03,2.804e+01,9.976e+04
41.2,1.426e+05,4.369e+03,4.055e+01,1.470e+05
42.8,2.263e+05,7.047e+03,1.823e+02,2.336e+05
44.3,3.476e+05,1.108e+04,3.151e+02,3.590e+05
45.9,4.358e+05,1.542e+04,7.997e+01,4.513e+05
47.5,3.699e+05,1.655e+04,1.450e+02,3.866e+05
49.1,2.036e+05,1.326e+04,3.142e+02,2.172e+05
50.7,9.313e+04,1.082e+04,4.951e+02,1.044e+05
52.3,4.616e+04,1.008e+04,9.266e+02,5.717e+04
53.8,6.769e+04,9.376e+03,1.843e+03,7.891e+04
55.4,1.033e+05,6.816e+03,2.188e+03,1.123e+05
57.0,8.191e+04,3.492e+03,1.501e+03,8.690e+04
58.6,4.727e+04,1.433e+03,1.117e+03,4.982e+04
60.2,2.106e+04,8.547e+02,8.889e+02,2.281e+04
61.8,7.834e+03,8.141e+02,6.147e+02,9.262e+03
63.3,8.882e+03,8.343e+02,5.543e+02,1.027e+04
64.9,4.138e+04,1.529e+03,1.058e+03,4.396e+04
66.5,1.053e+05,3.643e+03,1.723e+03,1.106e+05
68.1,1.087e+05,5.560e+03,1.123e+03,1.154e+05
69.7,8.210e+04,8.504e+03,3.860e+02,9.099e+04
71.3,6.255e+04,1.274e+04,1.396e+02,7.543e+04
72.9,4.806e+04,2.201e+04,1.558e+02,7.023e+04
74.4,3.628e+04,4.046e+04,2.818e+02,7.703e+04
76.0,2.449e+04,5.624e+04,3.850e+02,8.112e+04
77.6,1.701e+04,7.187e+04,3.694e+02,8.924e+04
79.2,1.740e+04,9.290e+04,3.658e+02,1.107e+05
80.8,2.024e+04,9.410e+04,4.226e+02,1.148e+05
82.4,1.920e+04,6.602e+04,5.192e+02,8.573e+04
83.9,1.643e+04,4.307e+04,6.403e+02,6.013e+04
85.5,1.396e+04,3.041e+04,8.014e+02,4.517e+04
87.1,1.181e+04,1.990e+04,1.184e+03,3.289e+04
88.7,1.085e+04,1.247e+04,1.721e+03,2.505e+04
90.3,1.146e+04,9.151e+03,2.683e+03,2.329e+04
91.9,1.129e+04,7.938e+03,4.091e+03,2.332e+04
93.4,1.077e+04,8.752e+03,5.614e+03,2.514e+04
95.0,9.641e+03,1.145e+04,6.291e+03,2.739e+04
96.6,7.304e+03,1.123e+04,5.440e+03,2.397e+04
98.2,4.793e+03,8.048e+03,4.131e+03,1.697e+04
99.8,3.130e+03,4.581e+03,2.664e+03,1.037e+04
101.4,2.006e+03,2.122e+03,9.502e+02,5.078e+03
102.9,1.898e+03,2.658e+03,3.986e+02,4.954e+03
104.5,2.901e+03,7.219e+03,6.605e+02,1.078e+04
106.1,3.540e+03,1.130e+04,8.701e+02,1.571e+04
107.7,3.668e+03,1.159e+04,8.771e+02,1.613e+04
109.3,4.371e+03,9.361e+03,7.251e+02,1.446e+04
110.9,4.899e+03,5.831e+03,4.865e+02,1.122e+04
112.4,4.545e+03,2.792e+03,3.347e+02,7.671e+03
114.0,3.967e+03,1.715e+03,2.576e+02,5.939e+03
115.6,4.515e+03,1.766e+03,2.524e+02,6.534e+03
117.2,5.135e+03,1.571e+03,2.787e+02,6.984e+03
118.8,5.099e+03,9.935e+02,3.644e+02,6.457e+03
120.4,4.330e+03,4.958e+02,3.954e+02,5.221e+03
121.9,3.924e+03,2.694e+02,2.769e+02,4.470e+03
123.5,5.255e+03,2.153e+02,1.991e+02,5.669e+03
125.1,6.859e+03,1.821e+02,1.810e+02,7.222e+03
126.7,8.074e+03,1.667e+02,1.355e+02,8.376e+03
128.3,8.779e+03,2.475e+02,9.848e+01,9.125e+03
129.9,8.951e+03,3.375e+02,8.244e+01,9.371e+03
131.4,9.281e+03,2.808e+02,5.874e+01,9.620e+03
133.0,8.099e+03,1.620e+02,8.983e+01,8.350e+03
134.6,6.690e+03,1.624e+02,1.503e+02,7.003e+03
136.2,6.649e+03,2.436e+02,2.925e+02,7.186e+03
137.8,6.105e+03,2.102e+02,5.147e+02,6.830e+03
139.4,5.702e+03,1.782e+02,5.966e+02,6.477e+03
141.0,4.406e+03,1.704e+02,5.027e+02,5.079e+03
142.5,3.081e+03,1.560e+02,4.274e+02,3.665e+03
144.1,2.088e+03,1.649e+02,3.696e+02,2.623e+03
145.7,1.419e+03,2.024e+02,3.893e+02,2.011e+03
147.3,1.478e+03,2.251e+02,3.874e+02,2.091e+03
148.9,1.688e+03,2.673e+02,4.496e+02,2.405e+03
150.5,1.562e+03,3.353e+02,5.308e+02,2.428e+03
152.0,1.460e+03,3.397e+02,4.860e+02,2.286e+03
153.6,1.539e+03,3.023e+02,3.819e+02,2.223e+03
155.2,1.779e+03,2.669e+02,3.515e+02,2.398e+03
156.8,2.131e+03,1.814e+02,3.267e+02,2.639e+03
158.4,2.068e+03,8.513e+01,1.954e+02,2.349e+03
160.0,1.085e+03,6.379e+01,1.069e+02,1.256e+03
161.5,4.596e+02,5.857e+01,9.085e+01,6.091e+02
163.1,4.548e+02,5.760e+01,8.549e+01,5.979e+02
164.7,5.358e+02,6.517e+01,8.568e+01,6.867e+02
166.3,4.411e+02,8.576e+01,8.750e+01,6.143e+02
167.9,3.437e+02,1.531e+02,8.859e+01,5.854e+02
169.5,3.883e+02,2.222e+02,9.403e+01,7.045e+02
