freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.524e+00,2.592e+02,4.498e+01,3.117e+02
1.6,1.311e+01,1.527e+02,4.212e+01,2.080e+02
3.2,1.271e+01,2.304e+01,2.222e+01,5.797e+01
4.7,1.216e+01,3.255e+02,2.264e+01,3.603e+02
6.3,1.226e+01,1.075e+03,2.075e+01,1.108e+03
7.9,1.225e+01,1.776e+03,2.238e+01,1.811e+03
9.5,1.443e+01,2.646e+03,2.283e+01,2.683e+03
11.1,2.146e+01,3.754e+03,2.334e+01,3.799e+03
12.7,4.433e+01,5.129e+03,2.255e+01,5.196e+03
14.2,2.980e+01,6.778e+03,2.470e+01,6.833e+03
15.8,1.577e+01,8.811e+03,2.665e+01,8.854e+03
17.4,1.740e+01,1.159e+04,3.076e+01,1.163e+04
19.0,2.930e+01,1.436e+04,3.551e+01,1.443e+04
20.6,3.046e+01,1.762e+04,3.230e+01,1.768e+04
22.2,2.904e+01,2.075e+04,4.160e+01,2.083e+04
23.7,2.606e+01,2.207e+04,4.657e+01,2.214e+04
25.3,2.446e+01,2.849e+04,5.142e+01,2.857e+04
26.9,3.068e+01,3.929e+04,7.829e+01,3.939e+04
28.5,8.241e+01,5.058e+04,1.271e+02,5.079e+04
30.1,1.111e+02,6.205e+04,3.078e+02,6.246e+04
31.7,1.503e+02,8.105e+04,6.820e+02,8.188e+04
33.2,1.984e+02,1.207e+05,1.940e+03,1.228e+05
34.8,1.607e+02,1.826e+05,4.531e+03,1.872e+05
36.4,1.783e+02,2.794e+05,4.504e+03,2.841e+05
38.0,4.859e+02,4.777e+05,3.516e+03,4.817e+05
39.6,7.751e+02,6.023e+05,3.268e+03,6.063e+05
41.2,1.141e+03,5.829e+05,2.746e+03,5.868e+05
42.7,1.770e+03,5.029e+05,2.638e+03,5.073e+05
44.3,3.061e+03,4.092e+05,2.365e+03,4.146e+05
45.9,5.455e+03,3.176e+05,9.777e+02,3.241e+05
47.5,9.718e+03,2.257e+05,1.065e+03,2.365e+05
49.1,1.454e+04,1.637e+05,2.592e+03,1.808e+05
50.6,1.595e+04,1.401e+05,5.021e+03,1.611e+05
52.2,1.333e+04,1.244e+05,6.355e+03,1.441e+05
53.8,8.810e+03,1.051e+05,5.252e+03,1.191e+05
55.4,5.412e+03,8.726e+04,3.155e+03,9.583e+04
57.0,4.208e+03,7.479e+04,4.356e+03,8.335e+04
58.6,5.741e+03,6.280e+04,1.528e+04,8.382e+04
60.1,7.095e+03,5.595e+04,3.654e+04,9.958e+04
61.7,5.703e+03,5.085e+04,4.315e+04,9.971e+04
63.3,5.771e+03,4.399e+04,2.693e+04,7.670e+04
64.9,6.984e+03,3.879e+04,1.122e+04,5.700e+04
66.5,6.030e+03,3.235e+04,4.129e+03,4.251e+04
68.1,2.853e+03,2.580e+04,6.325e+03,3.498e+04
69.6,1.963e+03,2.196e+04,1.106e+04,3.499e+04
71.2,4.762e+03,2.033e+04,1.225e+04,3.734e+04
72.8,9.305e+03,1.809e+04,1.055e+04,3.794e+04
74.4,1.371e+04,1.750e+04,1.115e+04,4.237e+04
76.0,1.713e+04,2.058e+04,1.914e+04,5.685e+04
77.6,1.907e+04,2.482e+04,3.323e+04,7.712e+04
79.1,1.654e+04,2.900e+04,5.375e+04,9.930e+04
80.7,1.151e+04,3.062e+04,7.568e+04,1.178e+05
82.3,7.679e+03,2.877e+04,1.001e+05,1.366e+05
83.9,4.402e+03,2.559e+04,1.367e+05,1.667e+05
85.5,2.506e+03,2.236e+04,2.108e+05,2.357e+05
87.1,6.285e+03,1.944e+04,3.655e+05,3.912e+05
88.6,1.296e+04,1.608e+04,5.397e+05,5.687e+05
90.2,1.291e+04,1.147e+04,5.275e+05,5.519e+05
91.8,8.184e+03,8.451e+03,3.767e+05,3.933e+05
93.4,4.414e+03,7.593e+03,2.396e+05,2.516e+05
95.0,2.498e+03,7.746e+03,1.489e+05,1.592e+05
96.5,1.698e+03,7.900e+03,9.563e+04,1.052e+05
98.1,1.308e+03,7.803e+03,6.683e+04,7.594e+04
